x LHS_beta=90.000 LHS_beta=900.000 LHS_beta=9000.000 LHS_beta=90000.000 LHS_beta=900000.000 LHS_beta=9000000.000 RHS_beta=90.000 RHS_beta=900.000 RHS_beta=9000.000 RHS_beta=90000.000 RHS_beta=900000.000 RHS_beta=9000000.000
1.025257707726308892e-05 5.042164186326063232e+11 5.042128768790980469e+12 5.038590027955361719e+13 4.712453155675695625e+14 1.092662556565088875e+15 1.092877431061565250e+15 2.194349619589560025e+05 2.194287965334415138e+08 2.188133677360531006e+11 1.669541962905050938e+14 1.869716271932724609e+13 0.000000000000000000e+00
1.023163207812669846e-05 5.193578157054635620e+11 5.193541824847627930e+12 5.189911682019688281e+13 4.855244073778236250e+14 1.127774451962747000e+15 1.128000452017084500e+15 2.194925213938280358e+05 2.194863795222020447e+08 2.188732973368521729e+11 1.671776697794537188e+14 1.909682449763563281e+13 0.000000000000000000e+00
1.021068707899030799e-05 5.345360660148897095e+11 5.345323419071182617e+12 5.341602453274841406e+13 4.998452274286296875e+14 1.163110256658645250e+15 1.163347773644230000e+15 2.195470889503319049e+05 2.195409706776883900e+08 2.189302396495329895e+11 1.673988337132986562e+14 1.950484107476928516e+13 0.000000000000000000e+00
1.018974207985391752e-05 5.497493072320308228e+11 5.497454928307252930e+12 5.493643731978425000e+13 5.142060447432916250e+14 1.198667281176973500e+15 1.198916717645914250e+15 2.195986414985093579e+05 2.195925468695185184e+08 2.189841715014148560e+11 1.676176619059381875e+14 1.992138139316810547e+13 0.000000000000000000e+00
1.016879708071752706e-05 5.649956474165056152e+11 5.649917433285979492e+12 5.646016612252129688e+13 5.286050986895377500e+14 1.234442749003919750e+15 1.234704518947661500e+15 2.196471559649936680e+05 2.196410850238942802e+08 2.190350697756101685e+11 1.678341281468560312e+14 2.034661764850167578e+13 0.000000000000000000e+00
1.014785208158113659e-05 5.802731651826944580e+11 5.802691720284858398e+12 5.798701893740312500e+13 5.430405991051375000e+14 1.270433796051868000e+15 1.270708325166218000e+15 2.196926093371085590e+05 2.196865621276997626e+08 2.190829114151210022e+11 1.680482062047800312e+14 2.078072534792318359e+13 0.000000000000000000e+00
1.012690708244474613e-05 5.955799098812891846e+11 5.955758282944218750e+12 5.951680083421151562e+13 5.575107264382339375e+14 1.306637470150473500e+15 1.306925196105059750e+15 2.197349786670100002e+05 2.197289552326434851e+08 2.191276734269786072e+11 1.682598698313952188e+14 2.122388336933984766e+13 0.000000000000000000e+00
1.010596208330835566e-05 6.109139017963105469e+11 6.109097324237335938e+12 6.104931397572407031e+13 5.720136319026101250e+14 1.343050730565450000e+15 1.343352103277634000e+15 2.197742410758708720e+05 2.197682414594429433e+08 2.191693328864250793e+11 1.684690927651124375e+14 2.167627402158454297e+13 0.000000000000000000e+00
1.008501708417196520e-05 6.262731323577817383e+11 6.262688758597132812e+12 6.258435763893711719e+13 5.865474376480928750e+14 1.379670447545904500e+15 1.379985929459161750e+15 2.198103737581061141e+05 2.198043980020495951e+08 2.192078669411369629e+11 1.686758487348905000e+14 2.213808310550495703e+13 0.000000000000000000e+00
1.006407208503557473e-05 6.416555643702481689e+11 6.416512214201334961e+12 6.412172823787274219e+13 6.011102369462992500e+14 1.416493401901045750e+15 1.416823468267832500e+15 2.198433539856402494e+05 2.198374021319166124e+08 2.192432528154900208e+11 1.688801114641135312e+14 2.260949997612138281e+13 0.000000000000000000e+00
