x	denom	arg(denom)
 (-0.143555+0.000000j)	 (1.994841+0.000001j)	 (0.000000+0.000000j)
 (0.327703+0.000000j)	 (1.972970-0.000001j)	 (-0.000001+0.000000j)
 (0.147027+0.000000j)	 (1.994588-0.000001j)	 (-0.000000+0.000000j)
 (-0.327703+0.000000j)	 (1.972970+0.000001j)	 (0.000001+0.000000j)
 (-0.147027+0.000000j)	 (1.994588+0.000001j)	 (0.000000+0.000000j)
 (0.318485+0.000000j)	 (1.974479-0.000001j)	 (-0.000001+0.000000j)
 (0.153996+0.000000j)	 (1.994062-0.000001j)	 (-0.000000+0.000000j)
 (-0.318485+0.000000j)	 (1.974479+0.000001j)	 (0.000001+0.000000j)
 (-0.153996+0.000000j)	 (1.994062+0.000001j)	 (0.000000+0.000000j)
 (0.305220+0.000000j)	 (1.976573-0.000001j)	 (-0.000001+0.000000j)
 (0.164354+0.000000j)	 (1.993236-0.000001j)	 (-0.000000+0.000000j)
 (-0.305220+0.000000j)	 (1.976573+0.000001j)	 (0.000001+0.000000j)
 (-0.164354+0.000000j)	 (1.993236+0.000001j)	 (0.000000+0.000000j)
 (0.288876+0.000000j)	 (1.979028-0.000001j)	 (-0.000001+0.000000j)
 (0.177675+0.000000j)	 (1.992092-0.000001j)	 (-0.000000+0.000000j)
 (-0.288876+0.000000j)	 (1.979028+0.000001j)	 (0.000001+0.000000j)
 (-0.177675+0.000000j)	 (1.992092+0.000001j)	 (0.000000+0.000000j)
 (0.270431+0.000000j)	 (1.981632-0.000001j)	 (-0.000000+0.000000j)
 (0.193509+0.000000j)	 (1.990617-0.000001j)	 (-0.000000+0.000000j)
 (-0.270431+0.000000j)	 (1.981632+0.000001j)	 (0.000000+0.000000j)
 (-0.193509+0.000000j)	 (1.990617+0.000001j)	 (0.000000+0.000000j)
 (0.250761+0.000000j)	 (1.984217-0.000001j)	 (-0.000000+0.000000j)
 (0.211407+0.000000j)	 (1.988795-0.000001j)	 (-0.000000+0.000000j)
 (-0.250761+0.000000j)	 (1.984217+0.000001j)	 (0.000000+0.000000j)
 (-0.211407+0.000000j)	 (1.988795+0.000001j)	 (0.000000+0.000000j)
 (0.066667+0.000000j)	 (1.998889-0.000000j)	 (-0.000000+0.000000j)
 (-0.066667+0.000000j)	 (1.998889+0.000000j)	 (0.000000+0.000000j)
 (0.142160+0.000000j)	 (1.994941-0.000000j)	 (-0.000000+0.000000j)
 (0.000534+0.000000j)	 (2.000000-0.000000j)	 (-0.000000+0.000000j)
 (-0.142160+0.000000j)	 (1.994941+0.000000j)	 (0.000000+0.000000j)
 (-0.000534+0.000000j)	 (2.000000+0.000000j)	 (0.000000+0.000000j)
 (0.138718+0.000000j)	 (1.995184-0.000000j)	 (-0.000000+0.000000j)
 (0.003191+0.000000j)	 (1.999997-0.000000j)	 (-0.000000+0.000000j)
 (-0.138718+0.000000j)	 (1.995184+0.000000j)	 (0.000000+0.000000j)
 (-0.003191+0.000000j)	 (1.999997+0.000000j)	 (0.000000+0.000000j)
 (0.131931+0.000000j)	 (1.995644-0.000000j)	 (-0.000000+0.000000j)
 (0.008518+0.000000j)	 (1.999982-0.000000j)	 (-0.000000+0.000000j)
 (-0.131931+0.000000j)	 (1.995644+0.000000j)	 (0.000000+0.000000j)
 (-0.008518+0.000000j)	 (1.999982+0.000000j)	 (0.000000+0.000000j)
 (0.122140+0.000000j)	 (1.996267-0.000000j)	 (-0.000000+0.000000j)
 (0.016420+0.000000j)	 (1.999933-0.000000j)	 (-0.000000+0.000000j)
 (-0.122140+0.000000j)	 (1.996267+0.000000j)	 (0.000000+0.000000j)
 (-0.016420+0.000000j)	 (1.999933+0.000000j)	 (0.000000+0.000000j)
 (0.110039+0.000000j)	 (1.996971-0.000000j)	 (-0.000000+0.000000j)
 (0.026557+0.000000j)	 (1.999824-0.000000j)	 (-0.000000+0.000000j)
 (-0.110039+0.000000j)	 (1.996971+0.000000j)	 (0.000000+0.000000j)
 (-0.026557+0.000000j)	 (1.999824+0.000000j)	 (0.000000+0.000000j)
 (0.096329+0.000000j)	 (1.997679-0.000000j)	 (-0.000000+0.000000j)
 (0.038567+0.000000j)	 (1.999628-0.000000j)	 (-0.000000+0.000000j)
 (-0.096329+0.000000j)	 (1.997679+0.000000j)	 (0.000000+0.000000j)
 (-0.038567+0.000000j)	 (1.999628+0.000000j)	 (0.000000+0.000000j)
 (0.081650+0.000000j)	 (1.998333-0.000000j)	 (-0.000000+0.000000j)
 (0.052093+0.000000j)	 (1.999321-0.000000j)	 (-0.000000+0.000000j)
 (-0.081650+0.000000j)	 (1.998333+0.000000j)	 (0.000000+0.000000j)
 (-0.052093+0.000000j)	 (1.999321+0.000000j)	 (0.000000+0.000000j)
 (2.200000+0.000000j)	 (0.000017-0.916515j)	 (-1.570778+0.000000j)
 (-2.200000+0.000000j)	 (0.000017+0.916515j)	 (1.570778+0.000000j)
 (2.991474+0.000000j)	 (0.000009-2.224616j)	 (-1.570792+0.000000j)
 (1.670470+0.000000j)	 (1.099787-0.000011j)	 (-0.000010+0.000000j)
 (-2.991474+0.000000j)	 (0.000009+2.224616j)	 (1.570792+0.000000j)
 (-1.670470+0.000000j)	 (1.099787+0.000011j)	 (0.000010+0.000000j)
 (2.949747+0.000000j)	 (0.000009-2.168181j)	 (-1.570792+0.000000j)
 (1.689479+0.000000j)	 (1.070356-0.000011j)	 (-0.000010+0.000000j)
 (-2.949747+0.000000j)	 (0.000009+2.168181j)	 (1.570792+0.000000j)
 (-1.689479+0.000000j)	 (1.070356+0.000011j)	 (0.000010+0.000000j)
 (2.869281+0.000000j)	 (0.000010-2.057370j)	 (-1.570792+0.000000j)
 (1.728111+0.000000j)	 (1.006793-0.000012j)	 (-0.000012+0.000000j)
 (-2.869281+0.000000j)	 (0.000010+2.057370j)	 (1.570792+0.000000j)
 (-1.728111+0.000000j)	 (1.006793+0.000012j)	 (0.000012+0.000000j)
 (2.757219+0.000000j)	 (0.000010-1.897961j)	 (-1.570791+0.000000j)
 (1.786713+0.000000j)	 (0.898697-0.000014j)	 (-0.000015+0.000000j)
 (-2.757219+0.000000j)	 (0.000010+1.897961j)	 (1.570791+0.000000j)
 (-1.786713+0.000000j)	 (0.898697+0.000014j)	 (0.000015+0.000000j)
 (2.624902+0.000000j)	 (0.000011-1.700032j)	 (-1.570790+0.000000j)
 (1.864259+0.000000j)	 (0.724251-0.000018j)	 (-0.000025+0.000000j)
 (-2.624902+0.000000j)	 (0.000011+1.700032j)	 (1.570790+0.000000j)
 (-1.864259+0.000000j)	 (0.724251+0.000018j)	 (0.000025+0.000000j)
 (2.482686+0.000000j)	 (0.000012-1.470963j)	 (-1.570788+0.000000j)
 (1.959759+0.000000j)	 (0.399179-0.000034j)	 (-0.000086+0.000000j)
 (-2.482686+0.000000j)	 (0.000012+1.470963j)	 (1.570788+0.000000j)
 (-1.959759+0.000000j)	 (0.399179+0.000034j)	 (0.000086+0.000000j)
 (2.338748+0.000000j)	 (0.000013-1.212330j)	 (-1.570785+0.000000j)
 (2.072323+0.000000j)	 (0.000027-0.542701j)	 (-1.570747+0.000000j)
 (-2.338748+0.000000j)	 (0.000013+1.212330j)	 (1.570785+0.000000j)
 (-2.072323+0.000000j)	 (0.000027+0.542701j)	 (1.570747+0.000000j)
 (1.285714+0.000000j)	 (1.531972-0.000006j)	 (-0.000004+0.000000j)
 (-1.285714+0.000000j)	 (1.531972+0.000006j)	 (0.000004+0.000000j)
 (1.662874+0.000000j)	 (1.111237-0.000010j)	 (-0.000009+0.000000j)
 (1.002138+0.000000j)	 (1.730814-0.000004j)	 (-0.000002+0.000000j)
 (-1.662874+0.000000j)	 (1.111237+0.000010j)	 (0.000009+0.000000j)
 (-1.002138+0.000000j)	 (1.730814+0.000004j)	 (0.000002+0.000000j)
 (1.644238+0.000000j)	 (1.138631-0.000010j)	 (-0.000009+0.000000j)
 (1.012804+0.000000j)	 (1.724595-0.000004j)	 (-0.000002+0.000000j)
 (-1.644238+0.000000j)	 (1.138631+0.000010j)	 (0.000009+0.000000j)
 (-1.012804+0.000000j)	 (1.724595+0.000004j)	 (0.000002+0.000000j)
 (1.607929+0.000000j)	 (1.189354-0.000009j)	 (-0.000008+0.000000j)
 (1.034364+0.000000j)	 (1.711751-0.000004j)	 (-0.000002+0.000000j)
 (-1.607929+0.000000j)	 (1.189354+0.000009j)	 (0.000008+0.000000j)
 (-1.034364+0.000000j)	 (1.711751+0.000004j)	 (0.000002+0.000000j)
 (1.556536+0.000000j)	 (1.255865-0.000009j)	 (-0.000007+0.000000j)
 (1.066775+0.000000j)	 (1.691742-0.000004j)	 (-0.000003+0.000000j)
 (-1.556536+0.000000j)	 (1.255865+0.000009j)	 (0.000007+0.000000j)
 (-1.066775+0.000000j)	 (1.691742+0.000004j)	 (0.000003+0.000000j)
 (1.494577+0.000000j)	 (1.328999-0.000008j)	 (-0.000006+0.000000j)
 (1.109124+0.000000j)	 (1.664285-0.000005j)	 (-0.000003+0.000000j)
 (-1.494577+0.000000j)	 (1.328999+0.000008j)	 (0.000006+0.000000j)
 (-1.109124+0.000000j)	 (1.664285+0.000005j)	 (0.000003+0.000000j)
 (1.426391+0.000000j)	 (1.401930-0.000007j)	 (-0.000005+0.000000j)
 (1.160456+0.000000j)	 (1.628908-0.000005j)	 (-0.000003+0.000000j)
 (-1.426391+0.000000j)	 (1.401930+0.000007j)	 (0.000005+0.000000j)
 (-1.160456+0.000000j)	 (1.628908+0.000005j)	 (0.000003+0.000000j)
 (1.355638+0.000000j)	 (1.470458-0.000006j)	 (-0.000004+0.000000j)
 (1.219822+0.000000j)	 (1.584940-0.000005j)	 (-0.000003+0.000000j)
 (-1.355638+0.000000j)	 (1.470458+0.000006j)	 (0.000004+0.000000j)
 (-1.219822+0.000000j)	 (1.584940+0.000005j)	 (0.000003+0.000000j)
 (0.103448+0.000000j)	 (1.997323-0.000000j)	 (-0.000000+0.000000j)
 (-0.103448+0.000000j)	 (1.997323+0.000000j)	 (0.000000+0.000000j)
 (0.142508+0.000000j)	 (1.994916-0.000000j)	 (-0.000000+0.000000j)
 (0.066971+0.000000j)	 (1.998878-0.000000j)	 (-0.000000+0.000000j)
 (-0.142508+0.000000j)	 (1.994916+0.000000j)	 (0.000000+0.000000j)
 (-0.066971+0.000000j)	 (1.998878+0.000000j)	 (0.000000+0.000000j)
 (0.140784+0.000000j)	 (1.995039-0.000000j)	 (-0.000000+0.000000j)
 (0.068479+0.000000j)	 (1.998827-0.000000j)	 (-0.000000+0.000000j)
 (-0.140784+0.000000j)	 (1.995039+0.000000j)	 (0.000000+0.000000j)
 (-0.068479+0.000000j)	 (1.998827+0.000000j)	 (0.000000+0.000000j)
 (0.137368+0.000000j)	 (1.995277-0.000000j)	 (-0.000000+0.000000j)
 (0.071493+0.000000j)	 (1.998722-0.000000j)	 (-0.000000+0.000000j)
 (-0.137368+0.000000j)	 (1.995277+0.000000j)	 (0.000000+0.000000j)
 (-0.071493+0.000000j)	 (1.998722+0.000000j)	 (0.000000+0.000000j)
 (0.132404+0.000000j)	 (1.995612-0.000000j)	 (-0.000000+0.000000j)
 (0.075937+0.000000j)	 (1.998558-0.000000j)	 (-0.000000+0.000000j)
 (-0.132404+0.000000j)	 (1.995612+0.000000j)	 (0.000000+0.000000j)
 (-0.075937+0.000000j)	 (1.998558+0.000000j)	 (0.000000+0.000000j)
 (0.126209+0.000000j)	 (1.996014-0.000000j)	 (-0.000000+0.000000j)
 (0.081589+0.000000j)	 (1.998335-0.000000j)	 (-0.000000+0.000000j)
 (-0.126209+0.000000j)	 (1.996014+0.000000j)	 (0.000000+0.000000j)
 (-0.081589+0.000000j)	 (1.998335+0.000000j)	 (0.000000+0.000000j)
 (0.119110+0.000000j)	 (1.996450-0.000000j)	 (-0.000000+0.000000j)
 (0.088219+0.000000j)	 (1.998053-0.000000j)	 (-0.000000+0.000000j)
 (-0.119110+0.000000j)	 (1.996450+0.000000j)	 (0.000000+0.000000j)
 (-0.088219+0.000000j)	 (1.998053+0.000000j)	 (0.000000+0.000000j)
 (0.111412+0.000000j)	 (1.996894-0.000000j)	 (-0.000000+0.000000j)
 (0.095598+0.000000j)	 (1.997714-0.000000j)	 (-0.000000+0.000000j)
 (-0.111412+0.000000j)	 (1.996894+0.000000j)	 (0.000000+0.000000j)
 (-0.095598+0.000000j)	 (1.997714+0.000000j)	 (0.000000+0.000000j)
 (0.032258+0.000000j)	 (1.999740-0.000000j)	 (-0.000000+0.000000j)
 (-0.032258+0.000000j)	 (1.999740+0.000000j)	 (0.000000+0.000000j)
 (0.066363+0.000000j)	 (1.998899-0.000000j)	 (-0.000000+0.000000j)
 (0.000267+0.000000j)	 (2.000000-0.000000j)	 (-0.000000+0.000000j)
 (-0.066363+0.000000j)	 (1.998899+0.000000j)	 (0.000000+0.000000j)
 (-0.000267+0.000000j)	 (2.000000+0.000000j)	 (0.000000+0.000000j)
 (0.064860+0.000000j)	 (1.998948-0.000000j)	 (-0.000000+0.000000j)
 (0.001593+0.000000j)	 (1.999999-0.000000j)	 (-0.000000+0.000000j)
 (-0.064860+0.000000j)	 (1.998948+0.000000j)	 (0.000000+0.000000j)
 (-0.001593+0.000000j)	 (1.999999+0.000000j)	 (0.000000+0.000000j)
 (0.061883+0.000000j)	 (1.999042-0.000000j)	 (-0.000000+0.000000j)
 (0.004241+0.000000j)	 (1.999996-0.000000j)	 (-0.000000+0.000000j)
 (-0.061883+0.000000j)	 (1.999042+0.000000j)	 (0.000000+0.000000j)
 (-0.004241+0.000000j)	 (1.999996+0.000000j)	 (0.000000+0.000000j)
 (0.057555+0.000000j)	 (1.999172-0.000000j)	 (-0.000000+0.000000j)
 (0.008143+0.000000j)	 (1.999983-0.000000j)	 (-0.000000+0.000000j)
 (-0.057555+0.000000j)	 (1.999172+0.000000j)	 (0.000000+0.000000j)
 (-0.008143+0.000000j)	 (1.999983+0.000000j)	 (0.000000+0.000000j)
 (0.052150+0.000000j)	 (1.999320-0.000000j)	 (-0.000000+0.000000j)
 (0.013104+0.000000j)	 (1.999957-0.000000j)	 (-0.000000+0.000000j)
 (-0.052150+0.000000j)	 (1.999320+0.000000j)	 (0.000000+0.000000j)
 (-0.013104+0.000000j)	 (1.999957+0.000000j)	 (0.000000+0.000000j)
 (0.045951+0.000000j)	 (1.999472-0.000000j)	 (-0.000000+0.000000j)
 (0.018919+0.000000j)	 (1.999911-0.000000j)	 (-0.000000+0.000000j)
 (-0.045951+0.000000j)	 (1.999472+0.000000j)	 (0.000000+0.000000j)
 (-0.018919+0.000000j)	 (1.999911+0.000000j)	 (0.000000+0.000000j)
 (0.039224+0.000000j)	 (1.999615-0.000000j)	 (-0.000000+0.000000j)
 (0.025385+0.000000j)	 (1.999839-0.000000j)	 (-0.000000+0.000000j)
 (-0.039224+0.000000j)	 (1.999615+0.000000j)	 (0.000000+0.000000j)
 (-0.025385+0.000000j)	 (1.999839+0.000000j)	 (0.000000+0.000000j)
 (2.555556+0.000000j)	 (0.000011-1.590869j)	 (-1.570789+0.000000j)
 (-2.555556+0.000000j)	 (0.000011+1.590869j)	 (1.570789+0.000000j)
 (2.995732+0.000000j)	 (0.000009-2.230339j)	 (-1.570792+0.000000j)
 (2.202737+0.000000j)	 (0.000017-0.923065j)	 (-1.570778+0.000000j)
 (-2.995732+0.000000j)	 (0.000009+2.230339j)	 (1.570792+0.000000j)
 (-2.202737+0.000000j)	 (0.000017+0.923065j)	 (1.570778+0.000000j)
 (2.974715+0.000000j)	 (0.000009-2.202028j)	 (-1.570792+0.000000j)
 (2.216369+0.000000j)	 (0.000016-0.955139j)	 (-1.570779+0.000000j)
 (-2.974715+0.000000j)	 (0.000009+2.202028j)	 (1.570792+0.000000j)
 (-2.216369+0.000000j)	 (0.000016+0.955139j)	 (1.570779+0.000000j)
 (2.933555+0.000000j)	 (0.000010-2.146099j)	 (-1.570792+0.000000j)
 (2.243836+0.000000j)	 (0.000015-1.017251j)	 (-1.570781+0.000000j)
 (-2.933555+0.000000j)	 (0.000010+2.146099j)	 (1.570792+0.000000j)
 (-2.243836+0.000000j)	 (0.000015+1.017251j)	 (1.570781+0.000000j)
 (2.874810+0.000000j)	 (0.000010-2.065075j)	 (-1.570792+0.000000j)
 (2.284905+0.000000j)	 (0.000014-1.104893j)	 (-1.570783+0.000000j)
 (-2.874810+0.000000j)	 (0.000010+2.065075j)	 (1.570792+0.000000j)
 (-2.284905+0.000000j)	 (0.000014+1.104893j)	 (1.570783+0.000000j)
 (2.803225+0.000000j)	 (0.000010-1.964197j)	 (-1.570791+0.000000j)
 (2.338171+0.000000j)	 (0.000013-1.211216j)	 (-1.570785+0.000000j)
 (-2.803225+0.000000j)	 (0.000010+1.964197j)	 (1.570791+0.000000j)
 (-2.338171+0.000000j)	 (0.000013+1.211216j)	 (1.570785+0.000000j)
 (2.723461+0.000000j)	 (0.000010-1.848578j)	 (-1.570791+0.000000j)
 (2.402140+0.000000j)	 (0.000013-1.330517j)	 (-1.570787+0.000000j)
 (-2.723461+0.000000j)	 (0.000010+1.848578j)	 (1.570791+0.000000j)
 (-2.402140+0.000000j)	 (0.000013+1.330517j)	 (1.570787+0.000000j)
 (2.639583+0.000000j)	 (0.000011-1.722614j)	 (-1.570790+0.000000j)
 (2.475320+0.000000j)	 (0.000012-1.458496j)	 (-1.570788+0.000000j)
 (-2.639583+0.000000j)	 (0.000011+1.722614j)	 (1.570790+0.000000j)
 (-2.475320+0.000000j)	 (0.000012+1.458496j)	 (1.570788+0.000000j)
 (1.909091+0.000000j)	 (0.596131-0.000022j)	 (-0.000037+0.000000j)
 (-1.909091+0.000000j)	 (0.596131+0.000022j)	 (0.000037+0.000000j)
 (2.197268+0.000000j)	 (0.000017-0.909938j)	 (-1.570778+0.000000j)
 (1.668567+0.000000j)	 (1.102672-0.000011j)	 (-0.000010+0.000000j)
 (-2.197268+0.000000j)	 (0.000017+0.909938j)	 (1.570778+0.000000j)
 (-1.668567+0.000000j)	 (1.102672+0.000011j)	 (0.000010+0.000000j)
 (2.183797+0.000000j)	 (0.000017-0.876909j)	 (-1.570777+0.000000j)
 (1.678024+0.000000j)	 (1.088226-0.000011j)	 (-0.000010+0.000000j)
 (-2.183797+0.000000j)	 (0.000017+0.876909j)	 (1.570777+0.000000j)
 (-1.678024+0.000000j)	 (1.088226+0.000011j)	 (0.000010+0.000000j)
 (2.157333+0.000000j)	 (0.000019-0.808756j)	 (-1.570773+0.000000j)
 (1.697039+0.000000j)	 (1.058329-0.000011j)	 (-0.000011+0.000000j)
 (-2.157333+0.000000j)	 (0.000019+0.808756j)	 (1.570773+0.000000j)
 (-1.697039+0.000000j)	 (1.058329+0.000011j)	 (0.000011+0.000000j)
 (2.119374+0.000000j)	 (0.000021-0.701246j)	 (-1.570766+0.000000j)
 (1.725369+0.000000j)	 (1.011486-0.000012j)	 (-0.000012+0.000000j)
 (-2.119374+0.000000j)	 (0.000021+0.701246j)	 (1.570766+0.000000j)
 (-1.725369+0.000000j)	 (1.011486+0.000012j)	 (0.000012+0.000000j)
 (2.072812+0.000000j)	 (0.000027-0.544565j)	 (-1.570748+0.000000j)
 (1.761933+0.000000j)	 (0.946357-0.000013j)	 (-0.000014+0.000000j)
 (-2.072812+0.000000j)	 (0.000027+0.544565j)	 (1.570748+0.000000j)
 (-1.761933+0.000000j)	 (0.946357+0.000013j)	 (0.000014+0.000000j)
 (2.020534+0.000000j)	 (0.000049-0.287325j)	 (-1.570626+0.000000j)
 (1.805579+0.000000j)	 (0.860165-0.000015j)	 (-0.000017+0.000000j)
 (-2.020534+0.000000j)	 (0.000049+0.287325j)	 (1.570626+0.000000j)
 (-1.805579+0.000000j)	 (0.860165+0.000015j)	 (0.000017+0.000000j)
 (1.965100+0.000000j)	 (0.371996-0.000037j)	 (-0.000099+0.000000j)
 (1.855158+0.000000j)	 (0.747253-0.000017j)	 (-0.000023+0.000000j)
 (-1.965100+0.000000j)	 (0.371996+0.000037j)	 (0.000099+0.000000j)
 (-1.855158+0.000000j)	 (0.747253+0.000017j)	 (0.000023+0.000000j)
 (2.047619+0.000000j)	 (0.000033-0.439026j)	 (-1.570722+0.000000j)
 (-2.047619+0.000000j)	 (0.000033+0.439026j)	 (1.570722+0.000000j)
 (2.198633+0.000000j)	 (0.000017-0.913230j)	 (-1.570778+0.000000j)
 (1.910221+0.000000j)	 (0.592499-0.000022j)	 (-0.000038+0.000000j)
 (-2.198633+0.000000j)	 (0.000017+0.913230j)	 (1.570778+0.000000j)
 (-1.910221+0.000000j)	 (0.592499+0.000022j)	 (0.000038+0.000000j)
 (2.191878+0.000000j)	 (0.000017-0.896844j)	 (-1.570777+0.000000j)
 (1.915836+0.000000j)	 (0.574084-0.000023j)	 (-0.000041+0.000000j)
 (-2.191878+0.000000j)	 (0.000017+0.896844j)	 (1.570777+0.000000j)
 (-1.915836+0.000000j)	 (0.574084+0.000023j)	 (0.000041+0.000000j)
 (2.178523+0.000000j)	 (0.000018-0.863692j)	 (-1.570776+0.000000j)
 (1.927071+0.000000j)	 (0.535163-0.000025j)	 (-0.000047+0.000000j)
 (-2.178523+0.000000j)	 (0.000018+0.863692j)	 (1.570776+0.000000j)
 (-1.927071+0.000000j)	 (0.535163+0.000025j)	 (0.000047+0.000000j)
 (2.159173+0.000000j)	 (0.000019-0.813650j)	 (-1.570774+0.000000j)
 (1.943675+0.000000j)	 (0.471304-0.000029j)	 (-0.000061+0.000000j)
 (-2.159173+0.000000j)	 (0.000019+0.813650j)	 (1.570774+0.000000j)
 (-1.943675+0.000000j)	 (0.471304+0.000029j)	 (0.000061+0.000000j)
 (2.135117+0.000000j)	 (0.000020-0.747478j)	 (-1.570770+0.000000j)
 (1.964873+0.000000j)	 (0.373196-0.000037j)	 (-0.000098+0.000000j)
 (-2.135117+0.000000j)	 (0.000020+0.747478j)	 (1.570770+0.000000j)
 (-1.964873+0.000000j)	 (0.373196+0.000037j)	 (0.000098+0.000000j)
 (2.107678+0.000000j)	 (0.000022-0.665061j)	 (-1.570763+0.000000j)
 (1.989838+0.000000j)	 (0.201362-0.000069j)	 (-0.000342+0.000000j)
 (-2.107678+0.000000j)	 (0.000022+0.665061j)	 (1.570763+0.000000j)
 (-1.989838+0.000000j)	 (0.201362+0.000069j)	 (0.000342+0.000000j)
 (2.078075+0.000000j)	 (0.000026-0.564266j)	 (-1.570751+0.000000j)
 (2.017760+0.000000j)	 (0.000053-0.267123j)	 (-1.570599+0.000000j)
 (-2.078075+0.000000j)	 (0.000026+0.564266j)	 (1.570751+0.000000j)
 (-2.017760+0.000000j)	 (0.000053+0.267123j)	 (1.570599+0.000000j)
 (1.782609+0.000000j)	 (0.906811-0.000014j)	 (-0.000015+0.000000j)
 (-1.782609+0.000000j)	 (0.906811+0.000014j)	 (0.000015+0.000000j)
 (1.907961+0.000000j)	 (0.599736-0.000022j)	 (-0.000037+0.000000j)
 (1.667616+0.000000j)	 (1.104108-0.000011j)	 (-0.000010+0.000000j)
 (-1.907961+0.000000j)	 (0.599736+0.000022j)	 (0.000037+0.000000j)
 (-1.667616+0.000000j)	 (1.104108+0.000011j)	 (0.000010+0.000000j)
 (1.902377+0.000000j)	 (0.617221-0.000021j)	 (-0.000035+0.000000j)
 (1.672333+0.000000j)	 (1.096951-0.000011j)	 (-0.000010+0.000000j)
 (-1.902377+0.000000j)	 (0.617221+0.000021j)	 (0.000035+0.000000j)
 (-1.672333+0.000000j)	 (1.096951+0.000011j)	 (0.000010+0.000000j)
 (1.891331+0.000000j)	 (0.650283-0.000020j)	 (-0.000031+0.000000j)
 (1.681767+0.000000j)	 (1.082433-0.000011j)	 (-0.000010+0.000000j)
 (-1.891331+0.000000j)	 (0.650283+0.000020j)	 (0.000031+0.000000j)
 (-1.681767+0.000000j)	 (1.082433+0.000011j)	 (0.000010+0.000000j)
 (1.875310+0.000000j)	 (0.695135-0.000019j)	 (-0.000027+0.000000j)
 (1.695698+0.000000j)	 (1.060475-0.000011j)	 (-0.000011+0.000000j)
 (-1.875310+0.000000j)	 (0.695135+0.000019j)	 (0.000027+0.000000j)
 (-1.695698+0.000000j)	 (1.060475+0.000011j)	 (0.000011+0.000000j)
 (1.855369+0.000000j)	 (0.746729-0.000017j)	 (-0.000023+0.000000j)
 (1.713464+0.000000j)	 (1.031524-0.000012j)	 (-0.000011+0.000000j)
 (-1.855369+0.000000j)	 (0.746729+0.000017j)	 (0.000023+0.000000j)
 (-1.713464+0.000000j)	 (1.031524+0.000012j)	 (0.000011+0.000000j)
 (1.832591+0.000000j)	 (0.801006-0.000016j)	 (-0.000020+0.000000j)
 (1.734360+0.000000j)	 (0.995990-0.000012j)	 (-0.000012+0.000000j)
 (-1.832591+0.000000j)	 (0.801006+0.000016j)	 (0.000020+0.000000j)
 (-1.734360+0.000000j)	 (0.995990+0.000012j)	 (0.000012+0.000000j)
 (1.807976+0.000000j)	 (0.855115-0.000015j)	 (-0.000017+0.000000j)
 (1.757695+0.000000j)	 (0.954205-0.000013j)	 (-0.000013+0.000000j)
 (-1.807976+0.000000j)	 (0.855115+0.000015j)	 (0.000017+0.000000j)
 (-1.757695+0.000000j)	 (0.954205+0.000013j)	 (0.000013+0.000000j)
 (0.049180+0.000000j)	 (1.999395-0.000000j)	 (-0.000000+0.000000j)
 (-0.049180+0.000000j)	 (1.999395+0.000000j)	 (0.000000+0.000000j)
 (0.066515+0.000000j)	 (1.998894-0.000000j)	 (-0.000000+0.000000j)
 (0.032400+0.000000j)	 (1.999738-0.000000j)	 (-0.000000+0.000000j)
 (-0.066515+0.000000j)	 (1.998894+0.000000j)	 (0.000000+0.000000j)
 (-0.032400+0.000000j)	 (1.999738+0.000000j)	 (0.000000+0.000000j)
 (0.065763+0.000000j)	 (1.998919-0.000000j)	 (-0.000000+0.000000j)
 (0.033106+0.000000j)	 (1.999726-0.000000j)	 (-0.000000+0.000000j)
 (-0.065763+0.000000j)	 (1.998919+0.000000j)	 (0.000000+0.000000j)
 (-0.033106+0.000000j)	 (1.999726+0.000000j)	 (0.000000+0.000000j)
 (0.064270+0.000000j)	 (1.998967-0.000000j)	 (-0.000000+0.000000j)
 (0.034513+0.000000j)	 (1.999702-0.000000j)	 (-0.000000+0.000000j)
 (-0.064270+0.000000j)	 (1.998967+0.000000j)	 (0.000000+0.000000j)
 (-0.034513+0.000000j)	 (1.999702+0.000000j)	 (0.000000+0.000000j)
 (0.062091+0.000000j)	 (1.999036-0.000000j)	 (-0.000000+0.000000j)
 (0.036579+0.000000j)	 (1.999665-0.000000j)	 (-0.000000+0.000000j)
 (-0.062091+0.000000j)	 (1.999036+0.000000j)	 (0.000000+0.000000j)
 (-0.036579+0.000000j)	 (1.999665+0.000000j)	 (0.000000+0.000000j)
 (0.059359+0.000000j)	 (1.999119-0.000000j)	 (-0.000000+0.000000j)
 (0.039196+0.000000j)	 (1.999616-0.000000j)	 (-0.000000+0.000000j)
 (-0.059359+0.000000j)	 (1.999119+0.000000j)	 (0.000000+0.000000j)
 (-0.039196+0.000000j)	 (1.999616+0.000000j)	 (0.000000+0.000000j)
 (0.056207+0.000000j)	 (1.999210-0.000000j)	 (-0.000000+0.000000j)
 (0.042246+0.000000j)	 (1.999554-0.000000j)	 (-0.000000+0.000000j)
 (-0.056207+0.000000j)	 (1.999210+0.000000j)	 (0.000000+0.000000j)
 (-0.042246+0.000000j)	 (1.999554+0.000000j)	 (0.000000+0.000000j)
 (0.052766+0.000000j)	 (1.999304-0.000000j)	 (-0.000000+0.000000j)
 (0.045619+0.000000j)	 (1.999480-0.000000j)	 (-0.000000+0.000000j)
 (-0.052766+0.000000j)	 (1.999304+0.000000j)	 (0.000000+0.000000j)
 (-0.045619+0.000000j)	 (1.999480+0.000000j)	 (0.000000+0.000000j)
