x	denom	arg(denom)
 (49.494949+0.000000j)	 (0.000007-49.454525j)	 (-1.570796+0.000000j)
 (51.515152+0.000000j)	 (0.000007-51.476313j)	 (-1.570796+0.000000j)
 (53.535354+0.000000j)	 (0.000007-53.497982j)	 (-1.570796+0.000000j)
 (55.555556+0.000000j)	 (0.000007-55.519544j)	 (-1.570796+0.000000j)
 (57.575758+0.000000j)	 (0.000007-57.541010j)	 (-1.570796+0.000000j)
 (59.595960+0.000000j)	 (0.000007-59.562391j)	 (-1.570796+0.000000j)
 (61.616162+0.000000j)	 (0.000007-61.583694j)	 (-1.570796+0.000000j)
 (63.636364+0.000000j)	 (0.000007-63.604927j)	 (-1.570796+0.000000j)
 (65.656566+0.000000j)	 (0.000007-65.626097j)	 (-1.570796+0.000000j)
 (67.676768+0.000000j)	 (0.000007-67.647209j)	 (-1.570796+0.000000j)
 (69.696970+0.000000j)	 (0.000007-69.668268j)	 (-1.570796+0.000000j)
 (71.717172+0.000000j)	 (0.000007-71.689279j)	 (-1.570796+0.000000j)
 (73.737374+0.000000j)	 (0.000007-73.710245j)	 (-1.570796+0.000000j)
 (75.757576+0.000000j)	 (0.000007-75.731171j)	 (-1.570796+0.000000j)
 (77.777778+0.000000j)	 (0.000007-77.752059j)	 (-1.570796+0.000000j)
 (79.797980+0.000000j)	 (0.000007-79.772913j)	 (-1.570796+0.000000j)
 (81.818182+0.000000j)	 (0.000007-81.793734j)	 (-1.570796+0.000000j)
 (83.838384+0.000000j)	 (0.000007-83.814525j)	 (-1.570796+0.000000j)
 (85.858586+0.000000j)	 (0.000007-85.835289j)	 (-1.570796+0.000000j)
 (87.878788+0.000000j)	 (0.000007-87.856026j)	 (-1.570796+0.000000j)
 (89.898990+0.000000j)	 (0.000007-89.876740j)	 (-1.570796+0.000000j)
 (91.919192+0.000000j)	 (0.000007-91.897431j)	 (-1.570796+0.000000j)
 (93.939394+0.000000j)	 (0.000007-93.918101j)	 (-1.570796+0.000000j)
 (95.959596+0.000000j)	 (0.000007-95.938752j)	 (-1.570796+0.000000j)
 (97.979798+0.000000j)	 (0.000007-97.959383j)	 (-1.570796+0.000000j)
 (100.000000+0.000000j)	 (0.000007-99.979998j)	 (-1.570796+0.000000j)
 (1.000000+0.000000j)	 (1.732051-0.000004j)	 (-0.000002+0.000000j)
 (-1.000000+0.000000j)	 (1.732051+0.000004j)	 (0.000002+0.000000j)
 (233.065169+0.000000j)	 (0.000007-233.056587j)	 (-1.570796+0.000000j)
 (0.004291+0.000000j)	 (1.999995-0.000000j)	 (-0.000000+0.000000j)
 (-233.065169+0.000000j)	 (0.000007+233.056587j)	 (1.570796+0.000000j)
 (-0.004291+0.000000j)	 (1.999995+0.000000j)	 (0.000000+0.000000j)
 (38.298840+0.000000j)	 (0.000007-38.246583j)	 (-1.570796+0.000000j)
 (0.026110+0.000000j)	 (1.999830-0.000000j)	 (-0.000000+0.000000j)
 (-38.298840+0.000000j)	 (0.000007+38.246583j)	 (1.570796+0.000000j)
 (-0.026110+0.000000j)	 (1.999830+0.000000j)	 (0.000000+0.000000j)
 (13.799952+0.000000j)	 (0.000007-13.654254j)	 (-1.570796+0.000000j)
 (0.072464+0.000000j)	 (1.998687-0.000000j)	 (-0.000000+0.000000j)
 (-13.799952+0.000000j)	 (0.000007+13.654254j)	 (1.570796+0.000000j)
 (-0.072464+0.000000j)	 (1.998687+0.000000j)	 (0.000000+0.000000j)
 (6.737877+0.000000j)	 (0.000007-6.434205j)	 (-1.570795+0.000000j)
 (0.148415+0.000000j)	 (1.994486-0.000001j)	 (-0.000000+0.000000j)
 (-6.737877+0.000000j)	 (0.000007+6.434205j)	 (1.570795+0.000000j)
 (-0.148415+0.000000j)	 (1.994486+0.000001j)	 (0.000000+0.000000j)
 (3.831936+0.000000j)	 (0.000008-3.268598j)	 (-1.570794+0.000000j)
 (0.260965+0.000000j)	 (1.982901-0.000001j)	 (-0.000000+0.000000j)
 (-3.831936+0.000000j)	 (0.000008+3.268598j)	 (1.570794+0.000000j)
 (-0.260965+0.000000j)	 (1.982901+0.000001j)	 (0.000000+0.000000j)
 (2.366126+0.000000j)	 (0.000013-1.264338j)	 (-1.570786+0.000000j)
 (0.422632+0.000000j)	 (1.954836-0.000002j)	 (-0.000001+0.000000j)
 (-2.366126+0.000000j)	 (0.000013+1.264338j)	 (1.570786+0.000000j)
 (-0.422632+0.000000j)	 (1.954836+0.000002j)	 (0.000001+0.000000j)
 (1.524567+0.000000j)	 (1.294487-0.000008j)	 (-0.000006+0.000000j)
 (0.655924+0.000000j)	 (1.889382-0.000002j)	 (-0.000001+0.000000j)
 (-1.524567+0.000000j)	 (1.294487+0.000008j)	 (0.000006+0.000000j)
 (-0.655924+0.000000j)	 (1.889382+0.000002j)	 (0.000001+0.000000j)
 (3.000000+0.000000j)	 (0.000009-2.236068j)	 (-1.570792+0.000000j)
 (-3.000000+0.000000j)	 (0.000009+2.236068j)	 (1.570792+0.000000j)
 (467.130337+0.000000j)	 (0.000007-467.126056j)	 (-1.570796+0.000000j)
