x	Re(denom)	Im(denom)	arg(denom)
85.858586	0.415872	-85.835289	-1.565951
87.878788	0.415867	-87.856027	-1.566063
89.898990	0.415862	-89.876740	-1.566169
91.919192	0.415858	-91.897432	-1.566271
93.939394	0.415853	-93.918102	-1.566369
95.959596	0.415849	-95.938752	-1.566462
95.959596	0.415849	-95.938752	-1.566462
97.979798	0.415846	-97.959384	-1.566551
97.979798	0.415846	-97.959384	-1.566551
100.000000	0.415842	-99.979998	-1.566637
1.000000	1.796227	-0.231463	-0.128154
-1.000000	1.796227	0.231463	0.128154
233.065169	0.415774	-233.056587	-1.569012
233.065169	0.415774	-233.056587	-1.569012
0.004291	2.042753	-0.000873	-0.000427
-233.065169	0.415774	233.056587	1.569012
-0.004291	2.042753	0.000873	0.000427
38.298840	0.416327	-38.246589	-1.559911
38.298840	0.416327	-38.246589	-1.559911
0.026110	2.042597	-0.005315	-0.002602
0.026110	2.042597	-0.005315	-0.002602
-38.298840	0.416327	38.246589	1.559911
-38.298840	0.416327	38.246589	1.559911
-0.026110	2.042597	0.005315	0.002602
-0.026110	2.042597	0.005315	0.002602
13.799952	0.420191	-13.654390	-1.540033
13.799952	0.420191	-13.654390	-1.540033
0.072464	2.041525	-0.014757	-0.007228
0.072464	2.041525	-0.014757	-0.007228
-13.799952	0.420191	13.654390	1.540033
-0.072464	2.041525	0.014757	0.007228
-0.072464	2.041525	0.014757	0.007228
6.737877	0.435294	-6.435497	-1.503260
6.737877	0.435294	-6.435497	-1.503260
0.148415	2.037583	-0.030283	-0.014861
0.148415	2.037583	-0.030283	-0.014861
-6.737877	0.435294	6.435497	1.503260
-6.737877	0.435294	6.435497	1.503260
-0.148415	2.037583	0.030283	0.014861
-0.148415	2.037583	0.030283	0.014861
3.831936	0.485977	-3.278270	-1.423626
0.260965	2.026726	-0.053534	-0.026408
-3.831936	0.485977	3.278270	1.423626
-3.831936	0.485977	3.278270	1.423626
-0.260965	2.026726	0.053534	0.026408
2.366126	0.708531	-1.388421	-1.098931
2.366126	0.708531	-1.388421	-1.098931
0.422632	2.000488	-0.087835	-0.043879
0.422632	2.000488	-0.087835	-0.043879
-2.366126	0.708531	1.388421	1.098931
-2.366126	0.708531	1.388421	1.098931
-0.422632	2.000488	0.087835	0.043879
-0.422632	2.000488	0.087835	0.043879
1.524567	1.430040	-0.443241	-0.300560
1.524567	1.430040	-0.443241	-0.300560
0.655924	1.939687	-0.140593	-0.072356
0.655924	1.939687	-0.140593	-0.072356
-1.524567	1.430040	0.443241	0.300560
-1.524567	1.430040	0.443241	0.300560
-0.655924	1.939687	0.140593	0.072356
-0.655924	1.939687	0.140593	0.072356
3.000000	0.550666	-2.265034	-1.332307
3.000000	0.550666	-2.265034	-1.332307
-3.000000	0.550666	2.265034	1.332307
-3.000000	0.550666	2.265034	1.332307
467.130337	0.415763	-467.126056	-1.569906
467.130337	0.415763	-467.126056	-1.569906
1.008581	1.791756	-0.234031	-0.129880
-467.130337	0.415763	467.126056	1.569906
-1.008581	1.791756	0.234031	0.129880
-1.008581	1.791756	0.234031	0.129880
77.597680	0.415897	-77.571902	-1.565435
77.597680	0.415897	-77.571902	-1.565435
1.052221	1.768302	-0.247396	-0.139004
1.052221	1.768302	-0.247396	-0.139004
-77.597680	0.415897	77.571902	1.565435
-77.597680	0.415897	77.571902	1.565435
-1.052221	1.768302	0.247396	0.139004
28.599903	0.416779	-28.529902	-1.556189
28.599903	0.416779	-28.529902	-1.556189
1.144928	1.714378	-0.277660	-0.160565
-28.599903	0.416779	28.529902	1.556189
-28.599903	0.416779	28.529902	1.556189
-1.144928	1.714378	0.277660	0.160565
-1.144928	1.714378	0.277660	0.160565
14.475755	0.419782	-14.337044	-1.541525
14.475755	0.419782	-14.337044	-1.541525
1.296829	1.613313	-0.334200	-0.204262
1.296829	1.613313	-0.334200	-0.204262
-14.475755	0.419782	14.337044	1.541525
-14.475755	0.419782	14.337044	1.541525
-1.296829	1.613313	0.334200	0.204262
-1.296829	1.613313	0.334200	0.204262
8.663872	0.427271	-8.430444	-1.520158
8.663872	0.427271	-8.430444	-1.520158
1.521929	1.432386	-0.441750	-0.299146
1.521929	1.432386	-0.441750	-0.299146
-8.663872	0.427271	8.430444	1.520158
-1.521929	1.432386	0.441750	0.299146
5.732252	0.443455	-5.374245	-1.488468
5.732252	0.443455	-5.374245	-1.488468
1.845264	1.114369	-0.688448	-0.553399
1.845264	1.114369	-0.688448	-0.553399
-5.732252	0.443455	5.374245	1.488468
-1.845264	1.114369	0.688448	0.553399
4.049134	0.477106	-3.528493	-1.436396
2.311848	0.734692	-1.308265	-1.059108
4.049134	0.477106	-3.528493	-1.436396
-4.049134	0.477106	3.528493	1.436396
2.311848	0.734692	-1.308265	-1.059108
-2.311848	0.734692	1.308265	1.059108
-4.049134	0.477106	3.528493	1.436396
0.333333	2.016548	-0.068725	-0.034067
-2.311848	0.734692	1.308265	1.059108
-0.333333	2.016548	0.068725	0.034067
0.991492	1.800614	-0.228934	-0.126464
0.333333	2.016548	-0.068725	-0.034067
-0.333333	2.016548	0.068725	0.034067
0.002141	2.042756	-0.000436	-0.000213
-0.991492	1.800614	0.228934	0.126464
0.991492	1.800614	-0.228934	-0.126464
-0.002141	2.042756	0.000436	0.000213

-0.991492	1.800614	0.228934	0.126464
0.950371	1.821187	-0.216960	-0.118572
-0.002141	2.042756	0.000436	0.000213
0.012887	2.042718	-0.002623	-0.001284
0.950371	1.821187	-0.216960	-0.118572
-0.012887	2.042718	0.002623	0.001284
0.012887	2.042718	-0.002623	-0.001284
0.873417	1.856943	-0.195553	-0.104922
-0.950371	1.821187	0.216960	0.118572
0.034965	2.042470	-0.007117	-0.003485
-0.012887	2.042718	0.002623	0.001284
-0.873417	1.856943	0.195553	0.104922
0.873417	1.856943	-0.195553	-0.104922
-0.034965	2.042470	0.007117	0.003485
0.034965	2.042470	-0.007117	-0.003485
0.771111	1.899142	-0.168811	-0.088655
-0.873417	1.856943	0.195553	0.104922
0.069081	2.041637	-0.014068	-0.006890
-0.034965	2.042470	0.007117	0.003485
-0.771111	1.899142	0.168811	0.088655
0.771111	1.899142	-0.168811	-0.088655
-0.069081	2.041637	0.014068	0.006890
0.069081	2.041637	-0.014068	-0.006890
0.657061	1.939322	-0.140863	-0.072508
-0.771111	1.899142	0.168811	0.088655
-0.069081	2.041637	0.014068	0.006890

0.657061	1.939322	-0.140863	-0.072508
-0.115422	2.039629	0.023528	0.011535
0.115422	2.039629	-0.023528	-0.011535
0.541928	1.972869	-0.114205	-0.057823
-0.657061	1.939322	0.140863	0.072508
0.174452	2.035606	-0.035631	-0.017502
-0.115422	2.039629	0.023528	0.011535
-0.541928	1.972869	0.114205	0.057823
0.541928	1.972869	-0.114205	-0.057823
-0.174452	2.035606	0.035631	0.017502

-0.541928	1.972869	0.114205	0.057823

-0.174452	2.035606	0.035631	0.017502
0.246966	2.028405	-0.050620	-0.024951
0.432554	1.998462	-0.089988	-0.044998
-0.432554	1.998462	0.089988	0.044998
-0.246966	2.028405	0.050620	0.024951
0.246966	2.028405	-0.050620	-0.024951
-0.432554	1.998462	0.089988	0.044998
7.000000	0.433770	-6.709344	-1.506235
-0.246966	2.028405	0.050620	0.024951
-7.000000	0.433770	6.709344	1.506235
935.260675	0.415760	-935.258536	-1.570352
3.017163	0.548453	-2.287185	-1.335446
-7.000000	0.433770	6.709344	1.506235
935.260675	0.415760	-935.258536	-1.570352
-935.260675	0.415760	935.258536	1.570352
3.017163	0.548453	-2.287185	-1.335446
-3.017163	0.548453	2.287185	1.335446
-935.260675	0.415760	935.258536	1.570352
156.195359	0.415793	-156.182554	-1.568134
3.104442	0.538062	-2.398794	-1.350143
-156.195359	0.415793	156.182554	1.568134

3.104442	0.538062	-2.398794	-1.350143
58.199807	0.416005	-58.165434	-1.563644

3.289856	0.519931	-2.630708	-1.375672
-58.199807	0.416005	58.165434	1.563644

3.289856	0.519931	-2.630708	-1.375672
-3.289856	0.519931	2.630708	1.375672
-58.199807	0.416005	58.165434	1.563644

-3.289856	0.519931	2.630708	1.375672

-29.951510	0.416689	29.884673	1.556854
29.951510	0.416689	-29.884673	-1.556854
-3.593659	0.498313	2.998307	1.406103
3.593659	0.498313	-2.998307	-1.406103
-29.951510	0.416689	29.884673	1.556854

4.043859	0.477300	-3.522464	-1.436115
-3.593659	0.498313	2.998307	1.406103
18.327744	0.418256	-18.218350	-1.547842
-18.327744	0.418256	18.218350	1.547842
4.043859	0.477300	-3.522464	-1.436115
-4.043859	0.477300	3.522464	1.436115
-18.327744	0.418256	18.218350	1.547842
12.464503	0.421210	-12.303187	-1.536574
4.690527	0.459153	-4.247236	-1.463108
-4.043859	0.477300	3.522464	1.436115
